id,title,subtitle,authors,isbn,publisherName,publicationYear,editionNumber,active,selectable,type,found,error
77107076,ΜΑΘΗΜΑΤΙΚΑ Ι,"Συναρτήσεις, Σειρές-Δυναμοσειρές, Μιγαδικοί Αριθμοί, Γραμμική Άλγεβρα","ΠΕΤΡΑΚΗΣ Λ. ΑΝΔΡΕΑΣ, ΠΕΤΡΑΚΗ Α. ΔΩΡΟΘΕΑ, ΠΕΤΡΑΚΗΣ Α. ΛΕΩΝΙΔΑΣ",9786188324404,ΠΕΤΡΑΚΗ ΔΩΡΟΘΕΑ,2017,2,True,False,Published,True,
77107082,THOMAS ΑΠΕΙΡΟΣΤΙΚΟΣ ΛΟΓΙΣΜΟΣ,(μετάφραση της 14ης αμερικανικής έκδοσης),"[George B. Thomas], Jr., Joel Hass, Christopher Heil, Maurice D. Weir",9789605245153,ΙΔΡΥΜΑ ΤΕΧΝΟΛΟΓΙΑΣ & ΕΡΕΥΝΑΣ-ΠΑΝΕΠΙΣΤΗΜΙΑΚΕΣ ΕΚΔΟΣΕΙΣ ΚΡΗΤΗΣ,2018,1η,True,True,Published,True,
77107426,Τεχνικό Σχέδιο,στοιχεία θεωρίας και μεθοδολογία εφαρμογών,Σταματίνα Μαλικούτη,9789605950255,ΣΥΓΧΡΟΝΗ ΕΚΔΟΤΙΚΗ ΕΠΕ,2018,1,True,True,Published,True,
77107480,ΣΤΑΤΙΚΗ ΤΟΥ ΑΠΑΡΑΜΟΡΦΩΤΟΥ ΣΩΜΑΤΟΣ,ΜΕ 351 ΛΥΜΕΝΑ ΠΑΡΑΔΕΙΓΜΑΤΑ,ΘΕΟΦΑΝΗΣ Α. ΓΕΩΡΓΟΠΟΥΛΟΣ,9786188169531,ΠΑΥΛΟΣ ΓΕΩΡΓΟΠΟΥΛΟΣ,2018,1η,True,True,Published,True,
77107649,"Υδραυλική, 3η Έκδοση",,Λιακόπουλος Αντ.,9789604187751,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2020,3η,True,True,Published,True,
77107657,"Μηχανική Ρευστών, 2η Έκδοση",,Λιακόπουλος Αντ.,9789604187744,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2019,2η,True,True,Published,True,
77107672,"Πληροφορική και Αρχιτεκτονική, 2η Έκδοση",Έννοιες και Τεχνολογίες,Βενέρης Γιάννης,9789604187737,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2019,2η,True,True,Published,True,
77108689,ΑΝΑΛΥΣΗ ΚΑΤΑΣΚΕΥΩΝ: ΣΥΓΧΡΟΝΕΣ ΜΕΘΟΔΟΙ ΜΕ ΧΡΗΣΗ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,,ΠΕΤΡΟΣ ΚΩΜΟΔΡΟΜΟΣ,9789604618606,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2018,3η,True,True,Published,True,
77109652,Διοίκηση και διαχείριση των έργων,Μέθοδοι και τεχνικές,Πολύζος Σεραφείμ,9789605862541,ΕΚΔΟΣΕΙΣ ΚΡΙΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΙΣΤΗΜΟΝΙΚΩΝ ΛΟΓΟΤΕΧΝΙΚΩΝ ΚΑΙ ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΕΚΔΟΣΕΩΝ,2018,3η έκδ.,True,True,Published,True,
77109712,"Δομικές μηχανές, λειτουργική ανάλυση και κοστολόγηση έργων πολιτικού μηχανικού",,"Πετρουτσάτου Κλαίρη, Μαρινέλλη Μαρίνα",9789605862534,ΕΚΔΟΣΕΙΣ ΚΡΙΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΙΣΤΗΜΟΝΙΚΩΝ ΛΟΓΟΤΕΧΝΙΚΩΝ ΚΑΙ ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΕΚΔΟΣΕΩΝ,2018,2η έκδ.,True,True,Published,True,
77109719,Απειροστικός λογισμός,,"Briggs William, Cochran Lyle, Gillett Bernard",9789605862343,ΕΚΔΟΣΕΙΣ ΚΡΙΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΙΣΤΗΜΟΝΙΚΩΝ ΛΟΓΟΤΕΧΝΙΚΩΝ ΚΑΙ ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΕΚΔΟΣΕΩΝ,2018,1η έκδ.,True,True,Published,True,
77110959,Τεχνικές Αναπαράστασης με γεωμετρικές μεθόδους και σύγχρονα Ψηφιακά Μέσα,,Κουρνιάτης Νικόλαος,9789604188215,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2018,1η,True,True,Published,True,
77111885,ΓΕΩΓΡΑΦΙΚΑ ΣΥΣΤΗΜΑΤΑ ΠΛΗΡΟΦΟΡΙΩΝ ΚΑΙ ΑΝΑΛΥΣΗ ΧΩΡΟΥ,,ΚΟΥΤΣΟΠΟΥΛΟΣ ΚΩΣΤΗΣ,9786185242114,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2017,1,True,True,Published,True,
77111963,ΕΦΑΡΜΟΣΜΕΝΗ ΤΟΠΟΓΡΑΦΙΑ - ΤΟΜΟΣ Β',,"ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ, ΚΑΡΙΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΣΥΜΕΩΝΙΔΗΣ ΠΑΥΛΟΣ",9789609495103,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2010,2,True,True,Published,True,
77112284,ΣΤΟΙΧΕΙΑ ΤΟΠΟΓΡΑΦΙΑΣ,,ΣΤΥΛΙΑΝΙΔΗΣ ΕΥΣΤΡΑΤΙΟΣ,9789609495141,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2011,1,True,True,Published,True,
77112857,Career Paths - Construction 1 Buildings Students Book With Digibook App,,"Virginia Evans, Jenny Dooley, Mark Chavez",9781471562525,EXPRESS PUBLISHING ΑΝΩΝΥΜΗ ΕΚΔΟΤΙΚΗ ΕΤΑΙΡΕΙΑ,2015,1η έκδ.,True,True,Published,True,
77117411,"Τεχνική Υδρολογία, 6η έκδοση",,"Μπαλτάς Ευάγγελος, Μιμίκου Μαρία",9789604911257,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2018,6η,True,True,Published,True,
77117458,ΣΥΜΜΙΚΤΕΣ ΚΑΤΑΣΚΕΥΕΣ ΑΠΟ ΧΑΛΥΒΑ ΚΑΙ ΟΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ,,ΙΩΑΝΝΗΣ Κ. ΒΑΓΙΑΣ,9789604618941,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2018,4η,True,True,Published,True,
77118601,Υδροδυναμικά Έργα,,Τσόγκας Χρήστος Ε.,9789604565092,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2018,1η έκδ.,True,True,Published,True,
77119166,Οικονομική των Μεταφορών,,Ευάγγελος Σαμπράκος,9789607996756,Μαρκέλλα Ι. Βαρβαρήγου,2018,1,True,True,Published,True,
77119353,ΣΤΟΙΧΕΙΑ ΥΔΡΑΥΛΙΚΗΣ ΚΛΕΙΣΤΩΝ ΚΑΙ ΑΝΟΙΚΤΩΝ ΑΓΩΓΩΝ,,ΑΛΕΞΑΝΔΡΟΣ ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ,9789609427722,ΓΚΟΤΣΗΣ ΚΩΝ/ΝΟΣ & ΣΙΑ Ε.Ε.,2018,1,True,True,Published,True,
86053650,ΜΗΧΑΝΙΚΗ ΤΩΝ ΥΛΙΚΩΝ,ΕΛΑΣΤΙΚΟΤΗΤΑ ΑΝΤΟΧΗ,"Γ.Α. ΠΑΠΑΔΟΠΟΥΛΟΣ,Β.Γ.ΒΑΔΑΛΟΥΚΑ",9789608923928,ΒΑΔΑΛΟΥΚΑΣ ΣΥΜΒΟΥΛΟΙ ΜΗΧΑΝΙΚΟΙ Ι.Κ.Ε.,2009,1,True,False,Published,True,
86054250,"Μαθήματα Γεωδαισίας, 2η Έκδοση",Βασικές Αρχές και Εφαρμογές,Γεωργόπουλος Γ.,9789604187362,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2019,2η,True,True,Published,True,
86054388,Φυσική,,"Δαυΐδ Κωνσταντίνος, Μυλωνάς Νικόλαος",9789604188376,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2019,1η,True,True,Published,True,
86054605,ΥΠΟΛΟΓΙΣΤΙΚΗ ΡΕΥΣΤΟΔΥΝΑΜΙΚΗ,,T.J. CHUNG,9789603307884,ΓΡΗΓΟΡΙΟΣ ΧΡΥΣΟΣΤΟΜΟΥ ΦΟΥΝΤΑΣ,2019,2,True,True,Published,True,
86054621,Περιβαλλοντική Χημεία και Μηχανική,Θεωρία και Εργαστηριακές Ασκήσεις,"Νταρακάς Ευθύμιος, Πεταλά Μαρία, Τσιρίδης Βασίλειος",9789604186402,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2019,1η,True,True,Published,True,
86054774,ΑΝΤΟΧΗ ΤΩΝ ΥΛΙΚΩΝ,Μηχανική παραμορφώσιμου στερεού,ΒΟΥΘΟΥΝΗΣ ΠΑΝΑΓΙΩΤΗΣ,9786188328037,ΒΟΥΘΟΥΝΗ ΑΝΔΡΟΜΑΧΗ,2019,4,True,True,Published,True,
86055189,ΜΗΧΑΝΙΚΗ ΤΩΝ ΡΕΥΣΤΩΝ,ΤΡΙΤΗ ΕΚΔΟΣΗ,ΠΑΠΑΪΩΑΝΝΟΥ ΑΓΓΕΛΟΣ,9789606330049,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2019,3η Έκδοση,True,True,Published,True,
86055568,ΟΔΟΠΟΙΪΑ: ΟΔΟΣΤΡΩΜΑΤΑ-ΥΛΙΚΑ-ΕΛΕΓΧΟΣ ΠΟΙΟΤΗΤΑΣ,,ΑΘ. Φ. ΝΙΚΟΛΑΪΔΗΣ,9786188416604,ΙΩΑΝΝΗΣ ΝΙΚΟΛΑΪΔΗΣ Ι.Κ.Ε.,2019,4,True,True,Published,True,
86055658,ΑΕΡΟΔΡΟΜΙΑ: ΜΕΛΕΤΗ ΚΑΙ ΚΑΤΑΣΚΕΥΗ,,ΑΘ. Φ. ΝΙΚΟΛΑΪΔΗΣ,9789609184960,ΙΩΑΝΝΗΣ ΝΙΚΟΛΑΪΔΗΣ Ι.Κ.Ε.,2017,2,True,True,Published,True,
86055863,ΘΕΜΕΛΙΩΣΕΙΣ - ΑΝΤΙΣΤΗΡΙΞΕΙΣ: ΟΡΙΑΚΗ ΙΣΟΡΡΟΠΙΑ - ΑΡΙΘΜΗΤΙΚΕΣ ΜΕΘΟΔΟΙ,,ΑΙΜΙΛΙΟΣ Μ. ΚΩΜΟΔΡΟΜΟΣ,9789604619528,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2019,2η,False,False,Published,True,
86056685,"Θεωρία σχεδιασμού, επισκευών και ενισχύσεων",,Τάσιος Θ.,9789601100302,Σ.ΑΘΑΝΑΣΟΠΟΥΛΟΣ & ΣΙΑ Ι.Κ.Ε,2014,3η,True,True,Published,True,
86057397,ΕΦΑΡΜΟΣΜΕΝΗ ΤΟΠΟΓΡΑΦΙΑ - ΤΟΜΟΣ Α',,"ΚΑΡΙΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ",9786185242541,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2019,3,True,True,Published,True,
86192352,ΜΑΘΑΙΝΟΝΤΑΣ ΤΑ GIS ΣΤΗΝ ΠΡΑΞΗ,ΤΟ ARCGIS 10.5,"ΤΣΟΥΧΛΑΡΑΚΗ ΑΝΔΡΟΝΙΚΗ, ΑΧΙΛΛΕΩΣ ΓΕΩΡΓΙΟΣ, ΚΟΥΡΓΙΑΛΑΣ ΝΕΚΤΑΡΙΟΣ",9786185242572,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2019,3,True,True,Published,True,
86193757,ΣΤΑΤΙΚΗ ΡΑΒΔΩΤΩΝ ΦΟΡΕΩΝ-ΙΣΟΣΤΑΤΙΚΟΙ ΦΟΡΕΙΣ,,Ε.ΣΑΠΟΥΝΤΖΑΚΗΣ,9786185309596,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2019,2η,True,True,Published,True,
86193772,ΣΧΕΔΙΑΣΜΟΣ ΚΑΤΑΣΚΕΥΩΝ ΑΠΟ ΩΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ ΚΑΙ ΣΕΙΣΜΙΚΕΣ ΔΡΑΣΕΙΣ,Σύγχρονες αντιλήψεις και Ευρωκώδικες,ΚΑΡΑΓΙΑΝΝΗΣ ΧΡΗΣΤΟΣ,9789606330056,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2019,1η,True,True,Published,True,
86197319,Προς μια Ελλάδα με λιγότερα αυτοκίνητα,Χωρικός Σχεδιασμός και ‘Στρατηγικές Βιώσιμης Αστικής Κινητικότητας – ΣΒΑΚ’ απέναντι στην κλιματική αλλαγή,"Βλαστός Θάνος., Μπακογιάννης Ευθύμιος",9789606122484,ΕΚΔΟΣΕΙΣ ΓΡΗΓΟΡΗ ΟΕ,2019,1,True,True,Published,True,
86198313,Προστασία Κτιρίων,"Θερμομόνωση, Ηχομόνωση - Ηχοπροστασία",Χρήστος Γ. Αθανασόπουλος,9789605314330,ΔΙΑΥΛΟΣ Α.Ε. ΕΚΔΟΣΕΙΣ ΒΙΒΛΙΩΝ,2019,Γ,True,True,Published,True,
86198385,"Τεχνική Γεωλογία, 2η έκδοση",,"Κούκης Γεώργιος Χ.,Σαμπατακάκης Νικόλαος Σ.",9789604911301,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2019,2η,True,True,Published,True,
86199419,Διοίκηση - Διαχείριση Έργου - 5η έκδοση,Project Management,Αντώνης Δημητριάδης,9789605780517,ΕΚΔΟΣΕΙΣ ΝΕΩΝ ΤΕΧΝΟΛΟΓΙΩΝ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,2019,5,True,True,Published,True,
86199438,Στοιχεία Γεωμηχανικής. Μηχανική Πετρωμάτων,,Αγιουτάντης Γ. Ζαχαρίας,9789605083021,ΜΑΡΙΑ ΠΑΡΙΚΟΥ & ΣΙΑ ΕΠΕ,2019,2η,True,True,Published,True,
86201084,ΚΑΤΑΣΚΕΥΕΣ ΑΠΟ ΤΟΙΧΟΠΟΙΙΑ,ΑΠΟΤΙΜΗΣΗ ΚΑΙ ΕΠΕΜΒΑΣΕΙΣ ΓΙΑ ΣΕΙΣΜΙΚΑ ΦΟΡΤΙΑ,ΚΩΝΣΤΑΝΤΙΝΟΣ ΣΠΥΡΑΚΟΣ,9786180012569,ΕΡΓΟΝΟΜΟΣ ΙΚΕ,2019,1η,True,True,Published,True,
94642845,Κατασκευή Κτιρίων,Σύνθεση και Τεχνολογία,Χρήστος Γ. Αθανασόπουλος,9789605314415,ΔΙΑΥΛΟΣ Α.Ε. ΕΚΔΟΣΕΙΣ ΒΙΒΛΙΩΝ,2020,Ζ,True,True,Published,True,
94643849,Εφαρμοσμένη Στατιστική και Πιθανότητες για Μηχανικούς-Με χρήση SPSS και MATLAB,,"Παπαγεωργίου Έφη, Χαλικιάς Μιλτιάδης",9789925576579,BROKEN HILL PUBLISHERS LTD,2020,1,True,True,Published,True,
94644084,ΣΤΑΤΙΚΗ,Μηχανική απαραμόρφωτου στερεού,ΒΟΥΘΟΥΝΗΣ ΠΑΝΑΓΙΩΤΗΣ,9786188328051,ΒΟΥΘΟΥΝΗ ΑΝΔΡΟΜΑΧΗ,2020,7,True,True,Published,True,
94646123,Δυναμική Ανάλυση των Κατασκευών,,Κατσικαδέλης Ι.,9786185309992,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2020,3η,True,True,Published,True,
94688988,Υδρολογία και Υδραυλική,,Μυρωνίδης Δημήτριος,9789604188840,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2021,1η,True,True,Published,True,
94688998,"Περιβαλλοντική Μηχανική, 3η Έκδοση",Ρύπανση και Προστασία Περιβάλλοντος,Κούγκολος Αθανάσιος,9789604188680,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2021,3η,False,False,Published,True,
94689233,ΔΙΑΝΥΣΜΑΤΙΚΗ ΑΝΑΛΥΣΗ,,ΔΗΜΗΤΡΗΣ ΣΟΥΡΛΑΣ,9789605301798,Εταιρεία Αξιοποίησης και Διαχείρισης Περιουσίας Πανεπιστημίου Πατρών,2020,Α' ΕΚΔΟΣΗ,True,True,Published,True,
94690348,ΑΚΤΟΜΗΧΑΝΙΚΗ ΚΑΙ ΛΙΜΕΝΙΚΑ ΕΡΓΑ,,"ΚΑΡΑΜΠΑΣ ΘΕΟΦΑΝΗΣ, ΔΗΜΑΣ ΑΘΑΝΑΣΙΟΣ, ΛΟΥΚΟΓΕΩΡΓΑΚΗ ΕΥΑΓΓΕΛΙΑ",9786185242923,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2020,1,True,True,Published,True,
102070175,ΣΤΑΤΙΣΤΙΚΗ ΠΙΘΑΝΟΤΗΤΕΣ,ΣΥΝΔΙΑΣΤΙΚΗ ΑΝΑΛΥΣΗ ΔΙΑΚΥΜΑΝΣΗΣ ΑΝΑΛΥΣΗ ΠΑΛΙΝΔΡΟΜΗΣΗΣ,"ΑΝΔΡΕΑΣ Λ. ΠΕΤΡΑΚΗΣ, ΔΩΡΟΘΕΑ Α. ΠΕΤΡΑΚΗ, ΛΕΩΝΙΔΑΣ Α. ΠΕΤΡΑΚΗΣ",9786188324459,ΠΕΤΡΑΚΗ ΔΩΡΟΘΕΑ,2021,1,True,False,Published,True,
102070459,ΔΟΥΛΕΨΤΕ ΜΕ ΤΟ AUTOCAD 2022,"ΚΑΛΥΠΤΕΙ ΕΠΙΣΗΣ ΤΟ AUTOCAD 2018 ΕΩΣ 2021, ΚΑΘΩΣ ΚΑΙ ΤΑ EXPRESS TOOLS",ΓΙΑΝΝΗΣ Θ. ΚΑΠΠΟΣ,9789606452345,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2021,1η,True,True,Published,True,
102070523,ΕΠΙΤΟΠΟΥ ΔΟΚΙΜΕΣ ΣΤΗ ΓΕΩΤΕΧΝΙΚΗ ΜΗΧΑΝΙΚΗ,Εφαρμογές στο σχεδιασμό θεμελιώσεων,ΧΡΗΣΤΟΣ Ν. ΜΑΡΑΓΚΟΣ,9786188483903,ΝΙΚΟΛΑΟΣ ΜΑΡΑΓΚΟΣ,2020,1,True,True,Published,True,
102073543,ΑΝΤΙΣΕΙΣΜΙΚΟΣ ΣΧΕΔΙΑΣΜΟΣ ΚΑΤΑΣΚΕΥΩΝ ΑΠΟ ΟΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ,Καινοτόμες Εφαρμογές - Ευρωκώδικες,ΤΣΩΝΟΣ ΑΛΕΞΑΝΔΡΟΣ - ΔΗΜΗΤΡΗΣ,9789606330315,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2021,1η,True,True,Published,True,
102075353,Φυσική:Βασικές αρχές,"Μηχανική,Κυματική,Θερμοδυναμική","Halliday David, Resnick Robert,Walker Jearl( Γενική επιστ.επιμ. Στυλιάρης Ευστάθιος)",9789600122343,Γ. ΔΑΡΔΑΝΟΣ ΚΑΙ ΣΙΑ Ε.Ε.,2021,1η,True,True,Published,True,
102123614,Οπλισμένο Σκυρόδεμα. Προσομοίωση και Σχεδιασμός,,Μαρίνα Μωρέττη,9786185495572,ΕΚΔΟΣΕΙΣ ΤΣΟΤΡΑΣ ΑΘΑΝΑΣΙΟΣ Ε.Ε.,2021,1η,True,True,Published,True,
102124090,ΣΤΟΙΧΕΙΑ ΣΧΕΔΙΑΣΜΟΥ ΕΡΓΩΝ ΥΔΡΕΥΣΗΣ ΚΑΙ ΑΠΟΧΕΤΕΥΣΗΣ,,ΛΑΓΓΟΥΣΗΣ ΑΝΔΡΕΑΣ - ΦΟΥΡΝΙΩΤΗΣ ΝΙΚΟΛΑΟΣ,9786185560089,ΓΚΟΤΣΗΣ ΚΩΝ/ΝΟΣ & ΣΙΑ Ε.Ε.,2024,2,True,True,Published,True,
102124164,Νέος οικοδομικός κανονισμός,"Ο ν.4067/2012 κωδικοποιημένος και πλήρης, όπως αυτός έχει τροποποιηθεί και ισχύει έως σήμερα","Μοσχάκη Ευδοκία Αρχιτέκτων Μηχανικός Ε.Μ.Π., Μάρα Σοφία Αρχιτέκτων Μηχανικός Ε.Μ.Π.",9786185499112,Ευαγγελία Παν. Δεδεμάδη,2021,Έκτη,True,True,Published,True,
112690832,Πανεπιστημιακή φυσική με σύγχρονη φυσική,Μηχανική - Κύματα - Θερμοδυναμική,"Young H., Freedman R.",9789600238242,ΕΚΔΟΣΕΙΣ Α.ΠΑΠΑΖΗΣΗΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,2022,4η ελληνική έκδ.,True,True,Published,True,
112691352,ΚΑΤΑΣΚΕΥΕΣ ΑΠΟ ΠΡΟΕΝΤΕΤΑΜΕΝΟ ΣΚΥΡΟΔΕΜΑ,,ΚΑΡΑΓΙΑΝΝΗΣ ΧΡΗΣΤΟς,9789606330377,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2022,1η,True,True,Published,True,
112691973,"Πιθανότητες και Στατιστική για Μηχανικούς, 2η Έκδοση",Με εφαρμογές στο MATLAB και το SPSS,Μυλωνάς Νίκος - Παπαδόπουλος Βασίλειος,9789604189984,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2023,2η,True,True,Published,True,
112693185,ΑΣΤΙΚΟΙ ΜΕΤΑΣΧΗΜΑΤΙΣΜΟΙ ΚΑΙ ΠΟΛΕΟΔΟΜΙΚΕΣ ΕΦΑΡΜΟΓΕΣ,,"ΘΕΟΔΩΡΙΔΟΥ ΛΙΛΑ, ΚΑΡΙΩΤΟΥ ΓΛΥΚΕΡΙΑ",9786182020920,ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ,2022,2,True,True,Published,True,
112693647,"Γεωλογία, 2η Έκδοση",Θεμελιώδεις Έννοιες για Μηχανικούς,Ροντογιάννη-Τσιαμπάου Θεοδώρα,9789604189908,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2023,2η,True,True,Published,True,
112694732,ΚΤΙΡΙΑ ΑΠΟ ΣΚΥΡΟΔΕΜΑ ΣΕ ΣΕΙΣΜΟΓΕΝΕΙΣ ΠΕΡΙΟΧΕΣ,,"ΓΕΩΡΓΙΟΣ Γ. ΠΕΝΕΛΗΣ, ΓΡΗΓΟΡΙΟΣ Γ. ΠΕΝΕΛΗΣ",9789606453236,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2022,2η Αγγλική,True,True,Published,True,
112696567,"Γεωλογία Τεχνικών Έργων, 2η Έκδοση",,"Κούκης Γεώργιος Χ., Σαμπατακάκης Νικόλαος Σ.",9789604911363,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2022,2η,True,True,Published,True,
112696634,Οδοποιία- Η διαχείριση των οδικών έργων,,Μουρατίδης Αναστάσιος,9789601225913,UNIVERSITY STUDIO PRESS - ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ ΚΑΙ ΕΚΔΟΣΕΩΝ,2023,2η έκδ.,True,True,Published,True,
112701512,ΕΠΙΣΚΕΥΕΣ ΚΤΙΡΙΩΝ ΜΕ ΒΛΑΒΕΣ ΑΠΟ ΣΕΙΣΜΟ ΚΑΙ ΠΡΟΣΕΙΣΜΙΚΕΣ ΚΑΙ ΜΕΤΑΣΕΙΣΜΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ,,ΜΑΤΙΛΝΤΑ ΓΡΗΓ. ΦΟΥΝΤΑ,9789603307877,ΓΡΗΓΟΡΙΟΣ ΧΡΥΣΟΣΤΟΜΟΥ ΦΟΥΝΤΑΣ,2022,1,True,True,Published,True,
112704727,Τεχνολογία Δομικών Υλικών,Θεωρία και Πειραματικές μέθοδοι αποτίμησης της δομικής ακεραιότητας υλικών και κατασκευών,"Κακαβάς - Παπανιάρος Παναγιώτης, Λέμης - Πετρόπουλος Παναγιώτης",9789604565894,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2022,1η έκδ.,True,True,Published,True,
122074113,"Οικοδομική και Αρχιτεκτονική Σύνθεση, 42η Γερμανική Έκδοση",,"Ernst Neufert, Johannes Kister",9789605127510,Χ. ΓΚΙΟΥΡΔΑ & ΣΙΑ ΕΕ,2022,42η,True,True,Published,True,
122074535,"Γεωθερμία, 1η Βελτιωμένη Έκδοση",Γεωθερμικοί Πόροι - Γεωθερμικά Ρευστά - Εφαρμογές - Περιβάλλον,"Φυτίκας Μιχαήλ, Ανδρίτσος Νικόλαος",9786182210116,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2023,1η Βελτιωμένη,True,True,Published,True,
122075007,MATLAB: ΜΙΑ ΠΡΑΚΤΙΚΗ ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΚΑΙ ΤΗΝ ΕΠΙΛΥΣΗ ΠΡΟΒΛΗΜΑΤΩΝ,,STORMY ATTAWAY,9789606454738,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2023,6η Αμερικανική,True,True,Published,True,
