id,title,subtitle,authors,isbn,publisherName,publicationYear,editionNumber,active,selectable,type,found,error
33153305,ΣΧΕΔΙΑΣΜΟΣ ΔΟΜΙΚΩΝ ΕΡΓΩΝ ΑΠΟ ΧΑΛΥΒΑ ΜΕ ΠΑΡΑΔΕΙΓΜΑΤΑ ΕΦΑΡΜΟΓΗΣ,,"ΙΩΑΝΝΗΣ Κ. ΒΑΓΙΑΣ, ΙΩΑΝΝΗΣ Χ. ΕΡΜΟΠΟΥΛΟΣ, ΓΕΩΡΓΙΟΣ ΙΩΑΝΝΙΔΗΣ",9789604615827,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2013,1η,True,True,Published,True,
33153307,ΕΔΑΦΟΜΗΧΑΝΙΚΗ: ΑΡΧΕΣ ΚΑΙ ΕΦΑΡΜΟΓΕΣ,,GRAHAM BARNES,9789604615780,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2014,3η Αγγλική,True,True,Published,True,
33153958,Μαθήματα Στατικής V,Πλαστική ανάλυση ραβδωτών φορέων Σύγχρονες μέθοδοι,Παπαδρακάκης Μ.,9786185066024,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2013,1η,True,True,Published,True,
33154038,Πράσινες Μετακινήσεις στις Πόλεις,Πολιτικές για μια Βιώσιμη Κινητικότητα στα Αστικά Κέντρα,Τσέτσης Σταύρος,9789604910779,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2013,1η,True,True,Published,True,
33154221,ΟΔΟΠΟΙΙΑ: ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΚΑΤΑΣΚΕΥΗ,,HENNING NATZSCHKA,9789604615834,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2014,3η Γερμανική,True,True,Published,True,
41958890,Στατική ΙΙ,Υπερστατικοί Φορείς,Σωτηροπούλου Αναστασία,9789604184750,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2014,1η,True,True,Published,True,
41959119,Περιβαλλοντική Τεχνική και Θεσμικό Πλαίσιο Εφαρμογής,,Βογιατζής Κωνσταντίνος,9789602663905,Σ.ΑΘΑΝΑΣΟΠΟΥΛΟΣ & ΣΙΑ Ι.Κ.Ε,2014,3η,True,True,Published,True,
41960118,Εφαρμοσμένη Γεωργική Υδραυλική,,"Παπαμιχαήλ Δημήτρης, Μπαμπατζιμόπουλος Χρήστος",9789604564156,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2014,1η έκδ.,True,True,Published,True,
41963463,Μηχανική ρευστών,Ασυμπίεστα ρευστά- Θεωρία και Ασκήσεις,Πρίνος Παναγιώτης,9789604564194,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2014,1η έκδ.,False,False,Published,True,
50655954,Υπολογιστική Μηχανική με Matlab και Excel,,Musto - Howard - Williams,9789604185047,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2015,1η,True,True,Published,True,
