Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Υπόγεια Υδραυλική και Τεχνική Υδρολογία,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ005,6,Earino,EUDOXUS,15196,0,true
Υπόγεια Υδραυλική και Τεχνική Υδρολογία,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ005,6,Earino,EUDOXUS,94688988,4,true
Υπόγεια Υδραυλική και Τεχνική Υδρολογία,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ005,6,Earino,EUDOXUS,77117411,3,true
Υπόγεια Υδραυλική και Τεχνική Υδρολογία,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ005,6,Earino,EUDOXUS,6861,2,true
Υδρεύσεις - Αποχετεύσεις,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ004,6,Earino,EUDOXUS,102124090,0,true
Υδρεύσεις - Αποχετεύσεις,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ004,6,Earino,EUDOXUS,133031346,2,true
Μεταλλικές Κατασκευές ΙΙ,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ017,7,Ximerino,EUDOXUS,11063,1,true
Μεταλλικές Κατασκευές ΙΙ,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ017,7,Ximerino,EUDOXUS,143559238,0,true
Μεταλλικές Κατασκευές ΙΙ,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ017,7,Ximerino,EUDOXUS,33153304,2,true
Στατική με Μητρώα,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ - ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ018,7,Ximerino,EUDOXUS,50658954,0,true
Στατική με Μητρώα,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ - ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ018,7,Ximerino,EUDOXUS,59369378,1,true
Τεχνική Σεισμολογία και Σεισμική Μηχανική,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ005,7,Ximerino,EUDOXUS,11254,1,true
Τεχνική Σεισμολογία και Σεισμική Μηχανική,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ005,7,Ximerino,EUDOXUS,11425,0,true
Βραχομηχανική και Σήραγγες,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ006,7,Ximerino,EUDOXUS,68380141,0,true
Βραχομηχανική και Σήραγγες,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ006,7,Ximerino,EUDOXUS,153587520,1,true
Βραχομηχανική και Σήραγγες,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ006,7,Ximerino,EUDOXUS,86199438,2,true
Γεωπεριβαλλοντική Μηχανική,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ008,7,Ximerino,EUDOXUS,133033478,1,true
Γεωπεριβαλλοντική Μηχανική,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ008,7,Ximerino,EUDOXUS,33094810,0,true
Σχεδιασμός & Επισκευές Κατασκευών από Φέρουσα Τοιχοποιία,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ019,7,Ximerino,EUDOXUS,13601,3,true
Σχεδιασμός & Επισκευές Κατασκευών από Φέρουσα Τοιχοποιία,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ019,7,Ximerino,EUDOXUS,86201084,1,true
Σχεδιασμός & Επισκευές Κατασκευών από Φέρουσα Τοιχοποιία,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ019,7,Ximerino,EUDOXUS,12734771,2,true
Σχεδιασμός & Επισκευές Κατασκευών από Φέρουσα Τοιχοποιία,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ019,7,Ximerino,EUDOXUS,12866352,0,true
Επιφανειακοί φορείς – Ειδικά θέματα πεπερασμένων στοιχείων,ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ020,7,Ximerino,EUDOXUS,77106802,1,true
Επιφανειακοί φορείς – Ειδικά θέματα πεπερασμένων στοιχείων,ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ020,7,Ximerino,EUDOXUS,11001,0,true
Επιφανειακοί φορείς – Ειδικά θέματα πεπερασμένων στοιχείων,ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ020,7,Ximerino,EUDOXUS,45386,3,true
Επιφανειακοί φορείς – Ειδικά θέματα πεπερασμένων στοιχείων,ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ020,7,Ximerino,EUDOXUS,45496,2,true
Δυναμική των Κατασκευών ΙΙ,ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ021,7,Ximerino,EUDOXUS,94646123,0,true
Δυναμική των Κατασκευών ΙΙ,ΚΟΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΔΟΜ021,7,Ximerino,EUDOXUS,143556547,1,true
Γεωγραφικά συστήματα πληροφοριών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ007,7,Ximerino,EUDOXUS,77111885,0,true
Γεωγραφικά συστήματα πληροφοριών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ007,7,Ximerino,EUDOXUS,12565288,1,true
Γεωγραφικά συστήματα πληροφοριών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ007,7,Ximerino,EUDOXUS,86192352,2,true
Σχεδιασμός Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ008,8,Ximerino,EUDOXUS,15157,2,true
Σχεδιασμός Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ008,8,Ximerino,EUDOXUS,15156,0,true
Σχεδιασμός Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ008,8,Ximerino,EUDOXUS,59366084,1,true
