Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Οργάνωση Εργοταξίου και Δομικές Μηχανές,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ017,9,Ximerino,EUDOXUS,77109652,0,true
Οργάνωση Εργοταξίου και Δομικές Μηχανές,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ017,9,Ximerino,EUDOXUS,77109712,1,true
Αντισεισμικός Σχεδιασμός Γεωτεχνικών Έργων,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ013,9,Ximerino,EUDOXUS,50659248,0,true
Αντισεισμικός Σχεδιασμός Γεωτεχνικών Έργων,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ013,9,Ximerino,EUDOXUS,11425,1,true
Γεωτεχνικές αστοχίες και Μέθοδοι Βελτίωσης Εδαφών,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ014,9,Ximerino,EUDOXUS,33153307,2,true
Γεωτεχνικές αστοχίες και Μέθοδοι Βελτίωσης Εδαφών,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ014,9,Ximerino,EUDOXUS,50660011,1,true
Γεωτεχνικές αστοχίες και Μέθοδοι Βελτίωσης Εδαφών,ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ014,9,Ximerino,EUDOXUS,122079920,0,true
Επισκευές-Ενισχύσεις Κατασκευών,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ031,9,Ximerino,EUDOXUS,112694732,0,true
Επισκευές-Ενισχύσεις Κατασκευών,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ031,9,Ximerino,EUDOXUS,86056685,1,true
Επισκευές-Ενισχύσεις Κατασκευών,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ031,9,Ximerino,EUDOXUS,86193772,2,true
Επισκευές-Ενισχύσεις Κατασκευών,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ031,9,Ximerino,EUDOXUS,112701512,3,true
Ελαστοπλαστική Ανάλυση Κατασκευών,ΔΡΟΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ033,9,Ximerino,EUDOXUS,33153958,0,true
Ενεργειακός Σχεδιασμός Κτιρίων,ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ034,9,Ximerino,EUDOXUS,68371902,1,true
Ενεργειακός Σχεδιασμός Κτιρίων,ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ034,9,Ximerino,EUDOXUS,50662962,0,true
Σχεδιασμός και Λειτουργία Σιδηροδρομικών Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ016,9,Ximerino,EUDOXUS,11295,0,true
Σχεδιασμός και Λειτουργία Σιδηροδρομικών Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ016,9,Ximerino,EUDOXUS,45308,3,true
